x0      ortho_residual 
-10.46735007   -0.16207356 
-8.10778219   0.19156087 
-7.22802196   -0.14579675 
-8.45887159   0.51203976 
-7.79655062   -0.03593396 
-9.43353564   -0.58853542 
-6.71411048   0.31716505 
-8.64242143   0.43540790 
-8.18797562   -0.36809516 
-9.86842238   -0.00932090 
-8.65106813   0.00527213 
-9.74739929   -0.10579718 
-8.22628519   -0.14008699 
-7.83239342   -0.09899242 
-7.29376150   0.23276710 
-8.77837861   0.13265739 
-7.68357982   0.58807703 
-8.76909791   -0.39428758 
-9.32362171   -0.12984909 
-6.80092383   0.14427244 
-7.19661087   0.25648683 
-8.39587215   1.11344659 
-8.72872071   -0.51396256 
-6.47538331   0.51538897 
-7.40447355   -0.20638884 
-8.60964476   0.42940249 
-7.93956042   0.85655483 
-8.73905087   -0.40613524 
-9.24846766   -0.00446905 
-7.94015187   -0.02872512 
-7.59308739   -0.13906122 
-9.21395935   0.17203481 
-7.94644199   -0.24612009 
-9.04469303   -0.32840769 
-6.81772517   1.24849131 
-9.08732937   -0.02190846 
-7.77056013   0.03289098 
-8.58012155   -0.18854836 
-8.58239541   0.08543596 
-7.67148985   0.13082430 
-8.10830737   -0.63971951 
-7.58195405   -0.13635883 
-7.91436426   0.09643055 
-6.29198717   1.36229190 
-10.22164514   0.14072077 
-10.43255433   0.26307447 
-8.02948783   -0.02979550 
-7.06815424   0.13686729 
-7.62499514   0.26186417 
-8.91466344   0.66077055 
-9.78684354   1.06406868 
-8.52990772   0.17420634 
-7.45521620   0.30884661 
-8.65610176   0.65633953 
-8.92188830   0.49214070 
-8.39167826   -0.76108603 
-8.42389640   0.03896467 
-6.98907151   -0.19590090 
-7.18856529   -0.12758541 
-8.57475125   -0.47530651 
-8.48621713   0.06881218 
-6.88996461   1.05260128 
-9.86232494   -0.11498373 
-6.53932689   0.34193517 
-10.12593994   -0.48097140 
-8.32680092   0.29747820 
-8.06676879   0.12698889 
-7.81124003   0.15612037 
-9.74091677   0.06890571 
-10.60976198   0.13123948 
-10.52102546   0.00309838 
-7.38531238   0.09358741 
-7.96359254   -0.05659878 
-7.46179563   0.32729904 
-8.96702335   -0.06436638 
-8.18046859   -0.04322349 
-6.87595195   -0.01667128 
-8.85667303   0.18583288 
-7.70756566   0.18426837 
-7.92301847   0.21060854 
-6.57075755   0.63785999 
-10.07732725   -0.04556025 
-7.14192227   -0.00901118 
-9.43243494   0.56501099 
-7.82086643   -0.27831966 
-8.11615175   -0.11180282 
-8.87515712   -0.47556350 
-7.73573410   -0.16442701 
-8.29899776   0.19162788 
-6.87965925   0.46572791 
-7.35132536   -0.13815534 
-7.68528893   -0.30098439 
-8.91649048   -0.11748983 
-9.68182732   -0.04986179 
-9.32626458   -0.57434802 
-8.95382417   -0.13811380 
-8.72109210   -0.05224955 
-8.21730768   0.06008587 
-9.05639185   0.16542605 
-8.08660097   0.42902232 
-7.91228471   0.45316012 
-9.58508713   0.15667766 
-7.45052467   0.03043873 
-9.56226213   -0.46648454 
-7.04822606   0.07379409 
-9.47857246   0.24545423 
-9.36327358   -0.26457819 
-10.56931983   -0.42247353 
-7.27263544   0.47276376 
-6.68070025   0.48582784 
-9.37545630   -0.37931150 
-7.40895614   -0.08355822 
-8.46422506   0.07536058 
-7.12812410   -0.11903704 
-7.69585598   -0.26178056 
-8.29033060   0.35377959 
-7.60689010   -0.05296582 
-10.90056242   0.04274408 
-8.80338249   -0.04949272 
-10.06576974   -0.36673288 
-8.42948772   0.10852932 
-9.22347982   -0.14536875 
-7.61242042   -0.38411802 
-7.48488371   0.30956645 
-9.38874515   -0.22077602 
-11.01099953   0.14975427 
-8.06265632   0.04389862 
-9.86413888   0.68667041 
-7.71596101   -0.16996410 
-7.91715544   -0.87065839 
-7.31953040   0.10002438 
-9.05005407   -1.32724634 
-7.77707616   0.50100096 
-9.41450978   -0.05093761 
-8.31420817   -0.36934786 
-8.93355283   -0.25828454 
-8.37844077   0.05970762 
-7.06715560   -0.04188785 
-8.30983486   0.18024629 
-7.22634462   0.31221717 
-7.57417986   0.22492073 
-7.10186189   -0.13314429 
