x0      ortho_residual 
-9.39394749   0.50509802 
-6.91650058   0.07411213 
-7.12607842   0.64041279 
-8.59641539   -0.19535014 
-6.97248806   -0.28623970 
-8.04901086   -1.20831310 
-7.67218020   0.01936732 
-7.69745846   0.20565290 
-8.08309561   -0.40343906 
-8.10619633   -0.14639731 
-9.12903973   -0.71108910 
-7.22888315   -0.14379942 
-8.36184163   0.31173586 
-9.82236989   0.15021341 
-8.63342945   -1.68495045 
-8.37099863   -1.14779107 
-9.00753567   -0.11571583 
-8.46526176   0.19834647 
-7.38329306   0.20806255 
-8.31337379   -0.12440156 
-8.04546943   -0.08435157 
-7.73249666   -0.39237379 
-8.84020371   -0.35479734 
-9.40954847   -0.14508879 
-9.15280423   -0.62792760 
-7.53417633   0.82436125 
-8.50885003   -0.82087889 
-9.92449858   0.19431444 
-10.81935585   -1.26026176 
-6.88260854   0.07494911 
-7.77354107   -1.24403134 
-9.12933189   0.04067241 
-8.02816023   -0.64172430 
-8.82529234   0.53719784 
-7.96310942   0.23636168 
-7.58983866   0.00117485 
-8.36165963   -0.22317681 
-10.17897263   0.19594569 
-10.05492585   -0.73744290 
-9.73546494   -0.30711665 
-8.38730361   -0.45192086 
-9.54732762   -0.04770164 
-8.18799280   -0.49217930 
-8.87573133   -0.13443432 
-8.65334927   -0.32173107 
-8.56428027   -0.34001620 
-8.84531118   0.94055047 
-7.07639131   -0.09262889 
-7.50034656   -0.11452838 
-9.38668044   0.01267346 
-8.59379839   -0.41490235 
-7.89035953   0.12029520 
-8.39125146   0.31468457 
-8.67873247   0.54140171 
-8.81731998   -0.07380066 
-8.79541602   -0.12956138 
-9.40032705   -0.32522030 
-7.84331492   -0.06259280 
-6.92011486   0.58589095 
-10.06676009   0.00243304 
-7.84298482   -0.09656861 
-8.52083568   -0.25785999 
-8.22983458   -0.70797541 
-9.13852424   -0.76735358 
-8.13184424   -0.07744940 
-7.73484010   0.91785186 
-8.77107686   -0.08625506 
-7.44932773   0.24111785 
-7.21602905   0.26805751 
-7.94928724   -0.18973051 
-8.14417399   -0.74030386 
-7.29391535   -0.34707623 
-10.56414957   -0.46368102 
-7.76971506   0.22470953 
-7.41077543   0.15498242 
